date,day_of_week,month,year,day_of_month,quarter,is_ramadan,is_payday,is_navruz,transaction_volume,avg_transaction_value,region
2019-01-01,1,1,2019,1,1,0.0,0,0,571126,13619,Tashkent
2019-01-02,2,1,2019,2,1,0.0,0,0,557376,10912,Tashkent
2019-01-03,3,1,2019,3,1,0.0,0,0,575485,12158,Tashkent
2019-01-04,4,1,2019,4,1,0.0,0,0,595632,11480,Tashkent
2019-01-05,5,1,2019,5,1,0.0,0,0,434182,12354,Tashkent
2019-01-06,6,1,2019,6,1,0.0,0,0,434552,12032,Tashkent
2019-01-07,0,1,2019,7,1,0.0,0,0,598418,11507,Andijan
2019-01-08,1,1,2019,8,1,0.0,0,0,580635,12414,Samarkand
2019-01-09,2,1,2019,9,1,0.0,0,0,553232,13471,Namangan
2019-01-10,3,1,2019,10,1,0.0,1,0,703387,11878,Fergana
2019-01-11,4,1,2019,11,1,0.0,0,0,554311,12610,Tashkent
2019-01-12,5,1,2019,12,1,0.0,0,0,432689,11003,Fergana
2019-01-13,6,1,2019,13,1,0.0,0,0,445549,11276,Tashkent
2019-01-14,0,1,2019,14,1,0.0,0,0,522888,12423,Samarkand
2019-01-15,1,1,2019,15,1,0.0,0,0,527603,13236,Tashkent
2019-01-16,2,1,2019,16,1,0.0,0,0,554428,12336,Andijan
2019-01-17,3,1,2019,17,1,0.0,0,0,544669,11805,Tashkent
2019-01-18,4,1,2019,18,1,0.0,0,0,575292,12058,Tashkent
2019-01-19,5,1,2019,19,1,0.0,0,0,427424,11062,Andijan
2019-01-20,6,1,2019,20,1,0.0,0,0,418834,12550,Tashkent
2019-01-21,0,1,2019,21,1,0.0,0,0,602994,12775,Fergana
2019-01-22,1,1,2019,22,1,0.0,0,0,564937,11711,Fergana
2019-01-23,2,1,2019,23,1,0.0,0,0,572111,11700,Namangan
2019-01-24,3,1,2019,24,1,0.0,0,0,538511,12293,Andijan
2019-01-25,4,1,2019,25,1,0.0,1,0,682096,11734,Andijan
2019-01-26,5,1,2019,26,1,0.0,0,0,448160,12034,Tashkent
2019-01-27,6,1,2019,27,1,0.0,0,0,426001,13770,Namangan
2019-01-28,0,1,2019,28,1,0.0,0,0,581611,11896,Samarkand
2019-01-29,1,1,2019,29,1,0.0,0,0,559709,11811,Samarkand
2019-01-30,2,1,2019,30,1,0.0,0,0,567278,11583,Tashkent
2019-01-31,3,1,2019,31,1,0.0,0,0,560637,12700,Fergana
2019-02-01,4,2,2019,1,1,0.0,0,0,523815,11963,Andijan
2019-02-02,5,2,2019,2,1,0.0,0,0,380510,11592,Andijan
2019-02-03,6,2,2019,3,1,0.0,0,0,364918,13172,Tashkent
2019-02-04,0,2,2019,4,1,0.0,0,0,505014,13254,Tashkent
2019-02-05,1,2,2019,5,1,0.0,0,0,465447,11642,Tashkent
2019-02-06,2,2,2019,6,1,0.0,0,0,493851,10632,Namangan
2019-02-07,3,2,2019,7,1,0.0,0,0,451752,12935,Fergana
2019-02-08,4,2,2019,8,1,0.0,0,0,464529,11585,Samarkand
2019-02-09,5,2,2019,9,1,0.0,0,0,386003,12769,Tashkent
2019-02-10,6,2,2019,10,1,0.0,1,0,481456,10563,Tashkent
2019-02-11,0,2,2019,11,1,0.0,0,0,495217,12857,Samarkand
2019-02-12,1,2,2019,12,1,0.0,0,0,489986,11178,Andijan
2019-02-13,2,2,2019,13,1,0.0,0,0,486748,12735,Samarkand
2019-02-14,3,2,2019,14,1,0.0,0,0,463938,12165,Tashkent
2019-02-15,4,2,2019,15,1,0.0,0,0,479310,11394,Samarkand
2019-02-16,5,2,2019,16,1,0.0,0,0,378174,11835,Tashkent
2019-02-17,6,2,2019,17,1,0.0,0,0,401906,12713,Andijan
2019-02-18,0,2,2019,18,1,0.0,0,0,501581,12252,Tashkent
2019-02-19,1,2,2019,19,1,0.0,0,0,460279,12639,Samarkand
2019-02-20,2,2,2019,20,1,0.0,0,0,502047,13756,Tashkent
2019-02-21,3,2,2019,21,1,0.0,0,0,488403,10927,Fergana
2019-02-22,4,2,2019,22,1,0.0,0,0,483023,13475,Fergana
2019-02-23,5,2,2019,23,1,0.0,0,0,397055,12268,Fergana
2019-02-24,6,2,2019,24,1,0.0,0,0,403899,11469,Tashkent
2019-02-25,0,2,2019,25,1,0.0,1,0,629855,11128,Tashkent
