date,day_of_week,month,year,day_of_month,quarter,is_ramadan,is_payday,is_navruz,transaction_volume,avg_transaction_value,region,usd_uzs_rate,usd_uzs_rate_lag7,usd_uzs_rate_change
2019-01-01,1,1,2019,1,1,0.0,0,0,571126,13619,Tashkent,8336.25,,
2019-01-02,2,1,2019,2,1,0.0,0,0,557376,10912,Tashkent,8336.25,,
2019-01-03,3,1,2019,3,1,0.0,0,0,575485,12158,Tashkent,8336.25,,
2019-01-04,4,1,2019,4,1,0.0,0,0,595632,11480,Tashkent,8336.25,,
2019-01-05,5,1,2019,5,1,0.0,0,0,434182,12354,Tashkent,8336.25,,
2019-01-06,6,1,2019,6,1,0.0,0,0,434552,12032,Tashkent,8336.25,,
2019-01-07,0,1,2019,7,1,0.0,0,0,598418,11507,Andijan,8336.25,,
2019-01-08,1,1,2019,8,1,0.0,0,0,580635,12414,Samarkand,8337.07,8336.25,9.8e-05
2019-01-09,2,1,2019,9,1,0.0,0,0,553232,13471,Namangan,8337.07,8336.25,9.8e-05
2019-01-10,3,1,2019,10,1,0.0,1,0,703387,11878,Fergana,8337.07,8336.25,9.8e-05
2019-01-11,4,1,2019,11,1,0.0,0,0,554311,12610,Tashkent,8337.07,8336.25,9.8e-05
2019-01-12,5,1,2019,12,1,0.0,0,0,432689,11003,Fergana,8337.07,8336.25,9.8e-05
2019-01-13,6,1,2019,13,1,0.0,0,0,445549,11276,Tashkent,8337.07,8336.25,9.8e-05
2019-01-14,0,1,2019,14,1,0.0,0,0,522888,12423,Samarkand,8337.07,8336.25,9.8e-05
2019-01-15,1,1,2019,15,1,0.0,0,0,527603,13236,Tashkent,8356.18,8337.07,0.002292
2019-01-16,2,1,2019,16,1,0.0,0,0,554428,12336,Andijan,8356.18,8337.07,0.002292
2019-01-17,3,1,2019,17,1,0.0,0,0,544669,11805,Tashkent,8356.18,8337.07,0.002292
2019-01-18,4,1,2019,18,1,0.0,0,0,575292,12058,Tashkent,8356.18,8337.07,0.002292
2019-01-19,5,1,2019,19,1,0.0,0,0,427424,11062,Andijan,8356.18,8337.07,0.002292
2019-01-20,6,1,2019,20,1,0.0,0,0,418834,12550,Tashkent,8356.18,8337.07,0.002292
2019-01-21,0,1,2019,21,1,0.0,0,0,602994,12775,Fergana,8356.18,8337.07,0.002292
2019-01-22,1,1,2019,22,1,0.0,0,0,564937,11711,Fergana,8378.18,8356.18,0.002633
2019-01-23,2,1,2019,23,1,0.0,0,0,572111,11700,Namangan,8378.18,8356.18,0.002633
2019-01-24,3,1,2019,24,1,0.0,0,0,538511,12293,Andijan,8378.18,8356.18,0.002633
2019-01-25,4,1,2019,25,1,0.0,1,0,682096,11734,Andijan,8378.18,8356.18,0.002633
2019-01-26,5,1,2019,26,1,0.0,0,0,448160,12034,Tashkent,8378.18,8356.18,0.002633
2019-01-27,6,1,2019,27,1,0.0,0,0,426001,13770,Namangan,8378.18,8356.18,0.002633
2019-01-28,0,1,2019,28,1,0.0,0,0,581611,11896,Samarkand,8378.18,8356.18,0.002633
2019-01-29,1,1,2019,29,1,0.0,0,0,559709,11811,Samarkand,8384.94,8378.18,0.000807
2019-01-30,2,1,2019,30,1,0.0,0,0,567278,11583,Tashkent,8384.94,8378.18,0.000807
2019-01-31,3,1,2019,31,1,0.0,0,0,560637,12700,Fergana,8384.94,8378.18,0.000807
2019-02-01,4,2,2019,1,1,0.0,0,0,523815,11963,Andijan,8384.94,8378.18,0.000807
2019-02-02,5,2,2019,2,1,0.0,0,0,380510,11592,Andijan,8384.94,8378.18,0.000807
2019-02-03,6,2,2019,3,1,0.0,0,0,364918,13172,Tashkent,8384.94,8378.18,0.000807
2019-02-04,0,2,2019,4,1,0.0,0,0,505014,13254,Tashkent,8384.94,8378.18,0.000807
2019-02-05,1,2,2019,5,1,0.0,0,0,465447,11642,Tashkent,8401.53,8384.94,0.001979
2019-02-06,2,2,2019,6,1,0.0,0,0,493851,10632,Namangan,8401.53,8384.94,0.001979
2019-02-07,3,2,2019,7,1,0.0,0,0,451752,12935,Fergana,8401.53,8384.94,0.001979
2019-02-08,4,2,2019,8,1,0.0,0,0,464529,11585,Samarkand,8401.53,8384.94,0.001979
2019-02-09,5,2,2019,9,1,0.0,0,0,386003,12769,Tashkent,8401.53,8384.94,0.001979
2019-02-10,6,2,2019,10,1,0.0,1,0,481456,10563,Tashkent,8401.53,8384.94,0.001979
2019-02-11,0,2,2019,11,1,0.0,0,0,495217,12857,Samarkand,8401.53,8384.94,0.001979
2019-02-12,1,2,2019,12,1,0.0,0,0,489986,11178,Andijan,8395.15,8401.53,-0.000759
2019-02-13,2,2,2019,13,1,0.0,0,0,486748,12735,Samarkand,8395.15,8401.53,-0.000759
2019-02-14,3,2,2019,14,1,0.0,0,0,463938,12165,Tashkent,8395.15,8401.53,-0.000759
2019-02-15,4,2,2019,15,1,0.0,0,0,479310,11394,Samarkand,8395.15,8401.53,-0.000759
2019-02-16,5,2,2019,16,1,0.0,0,0,378174,11835,Tashkent,8395.15,8401.53,-0.000759
2019-02-17,6,2,2019,17,1,0.0,0,0,401906,12713,Andijan,8395.15,8401.53,-0.000759
2019-02-18,0,2,2019,18,1,0.0,0,0,501581,12252,Tashkent,8395.15,8401.53,-0.000759
2019-02-19,1,2,2019,19,1,0.0,0,0,460279,12639,Samarkand,8392.2,8395.15,-0.000351
2019-02-20,2,2,2019,20,1,0.0,0,0,502047,13756,Tashkent,8392.2,8395.15,-0.000351
2019-02-21,3,2,2019,21,1,0.0,0,0,488403,10927,Fergana,8392.2,8395.15,-0.000351
2019-02-22,4,2,2019,22,1,0.0,0,0,483023,13475,Fergana,8392.2,8395.15,-0.000351
2019-02-23,5,2,2019,23,1,0.0,0,0,397055,12268,Fergana,8392.2,8395.15,-0.000351
2019-02-24,6,2,2019,24,1,0.0,0,0,403899,11469,Tashkent,8392.2,8395.15,-0.000351
2019-02-25,0,2,2019,25,1,0.0,1,0,629855,11128,Tashkent,8392.2,8395.15,-0.000351
2019-02-26,1,2,2019,26,1,0.0,0,0,481434,12044,Tashkent,8403.19,8392.2,0.00131
2019-02-27,2,2,2019,27,1,0.0,0,0,492413,12936,Fergana,8403.19,8392.2,0.00131
2019-02-28,3,2,2019,28,1,0.0,0,0,505616,12100,Tashkent,8403.19,8392.2,0.00131
2019-03-01,4,3,2019,1,1,0.0,0,0,682785,13415,Samarkand,8403.19,8392.2,0.00131
2019-03-02,5,3,2019,2,1,0.0,0,0,503174,11049,Namangan,8403.19,8392.2,0.00131
2019-03-03,6,3,2019,3,1,0.0,0,0,509630,12203,Namangan,8403.19,8392.2,0.00131
2019-03-04,0,3,2019,4,1,0.0,0,0,629665,11215,Tashkent,8403.19,8392.2,0.00131
2019-03-05,1,3,2019,5,1,0.0,0,0,627830,12511,Samarkand,8392.96,8403.19,-0.001217
2019-03-06,2,3,2019,6,1,0.0,0,0,681390,12933,Tashkent,8392.96,8403.19,-0.001217
2019-03-07,3,3,2019,7,1,0.0,0,0,696335,11890,Fergana,8392.96,8403.19,-0.001217
2019-03-08,4,3,2019,8,1,0.0,0,0,659160,10147,Namangan,8392.96,8403.19,-0.001217
2019-03-09,5,3,2019,9,1,0.0,0,0,536784,12393,Tashkent,8392.96,8403.19,-0.001217
2019-03-10,6,3,2019,10,1,0.0,1,0,639254,12587,Tashkent,8392.96,8403.19,-0.001217
2019-03-11,0,3,2019,11,1,0.0,0,0,645650,12564,Namangan,8392.96,8403.19,-0.001217
2019-03-12,1,3,2019,12,1,0.0,0,0,672904,13233,Namangan,8374.1,8392.96,-0.002247
2019-03-13,2,3,2019,13,1,0.0,0,0,704723,11391,Tashkent,8374.1,8392.96,-0.002247
2019-03-14,3,3,2019,14,1,0.0,0,0,663492,12796,Samarkand,8374.1,8392.96,-0.002247
2019-03-15,4,3,2019,15,1,0.0,0,0,706629,13209,Tashkent,8374.1,8392.96,-0.002247
2019-03-16,5,3,2019,16,1,0.0,0,0,464747,10836,Tashkent,8374.1,8392.96,-0.002247
2019-03-17,6,3,2019,17,1,0.0,0,0,536672,12518,Andijan,8374.1,8392.96,-0.002247
2019-03-18,0,3,2019,18,1,0.0,0,0,669029,11862,Namangan,8374.1,8392.96,-0.002247
2019-03-19,1,3,2019,19,1,0.0,0,0,659293,12204,Fergana,8378.04,8374.1,0.00047
2019-03-20,2,3,2019,20,1,0.0,0,1,904895,12551,Tashkent,8378.04,8374.1,0.00047
2019-03-21,3,3,2019,21,1,0.0,0,1,830613,11886,Namangan,8378.04,8374.1,0.00047
2019-03-22,4,3,2019,22,1,0.0,0,1,895185,11739,Tashkent,8378.04,8374.1,0.00047
2019-03-23,5,3,2019,23,1,0.0,0,1,715104,12310,Tashkent,8378.04,8374.1,0.00047
2019-03-24,6,3,2019,24,1,0.0,0,0,553590,11417,Samarkand,8378.04,8374.1,0.00047
2019-03-25,0,3,2019,25,1,0.0,1,0,801274,11421,Tashkent,8378.04,8374.1,0.00047
2019-03-26,1,3,2019,26,1,0.0,0,0,649548,12837,Fergana,8389.97,8378.04,0.001424
2019-03-27,2,3,2019,27,1,0.0,0,0,658343,11378,Samarkand,8389.97,8378.04,0.001424
2019-03-28,3,3,2019,28,1,0.0,0,0,697019,12834,Tashkent,8389.97,8378.04,0.001424
2019-03-29,4,3,2019,29,1,0.0,0,0,681820,12674,Tashkent,8389.97,8378.04,0.001424
2019-03-30,5,3,2019,30,1,0.0,0,0,514230,10927,Tashkent,8389.97,8378.04,0.001424
2019-03-31,6,3,2019,31,1,0.0,0,0,536605,11769,Tashkent,8389.97,8378.04,0.001424
2019-04-01,0,4,2019,1,2,0.0,0,0,531010,13270,Samarkand,8389.97,8378.04,0.001424
2019-04-02,1,4,2019,2,2,0.0,0,0,549918,11533,Namangan,8419.62,8389.97,0.003534
2019-04-03,2,4,2019,3,2,0.0,0,0,514976,11950,Tashkent,8419.62,8389.97,0.003534
2019-04-04,3,4,2019,4,2,0.0,0,0,523356,12695,Tashkent,8419.62,8389.97,0.003534
2019-04-05,4,4,2019,5,2,0.0,0,0,522433,12955,Samarkand,8419.62,8389.97,0.003534
2019-04-06,5,4,2019,6,2,0.0,0,0,390087,12131,Namangan,8419.62,8389.97,0.003534
2019-04-07,6,4,2019,7,2,0.0,0,0,419607,11857,Tashkent,8419.62,8389.97,0.003534
2019-04-08,0,4,2019,8,2,0.0,0,0,537669,13477,Tashkent,8419.62,8389.97,0.003534
2019-04-09,1,4,2019,9,2,0.0,0,0,532674,13734,Samarkand,8451.37,8419.62,0.003771
2019-04-10,2,4,2019,10,2,0.0,1,0,644180,13129,Tashkent,8451.37,8419.62,0.003771
2019-04-11,3,4,2019,11,2,0.0,0,0,503268,12418,Tashkent,8451.37,8419.62,0.003771
2019-04-12,4,4,2019,12,2,0.0,0,0,524941,11706,Fergana,8451.37,8419.62,0.003771
2019-04-13,5,4,2019,13,2,0.0,0,0,411101,11692,Samarkand,8451.37,8419.62,0.003771
2019-04-14,6,4,2019,14,2,0.0,0,0,403782,12778,Samarkand,8451.37,8419.62,0.003771
2019-04-15,0,4,2019,15,2,0.0,0,0,531834,12698,Fergana,8451.37,8419.62,0.003771
2019-04-16,1,4,2019,16,2,0.0,0,0,544402,13488,Fergana,8455.37,8451.37,0.000473
2019-04-17,2,4,2019,17,2,0.0,0,0,576653,12891,Tashkent,8455.37,8451.37,0.000473
2019-04-18,3,4,2019,18,2,0.0,0,0,540402,11172,Tashkent,8455.37,8451.37,0.000473
2019-04-19,4,4,2019,19,2,0.0,0,0,542644,13219,Tashkent,8455.37,8451.37,0.000473
2019-04-20,5,4,2019,20,2,0.0,0,0,418054,11583,Tashkent,8455.37,8451.37,0.000473
2019-04-21,6,4,2019,21,2,0.0,0,0,387450,12077,Fergana,8455.37,8451.37,0.000473
2019-04-22,0,4,2019,22,2,0.0,0,0,537911,12588,Namangan,8455.37,8451.37,0.000473
2019-04-23,1,4,2019,23,2,0.0,0,0,540239,13988,Andijan,8441.36,8455.37,-0.001657
2019-04-24,2,4,2019,24,2,0.0,0,0,592545,14883,Samarkand,8441.36,8455.37,-0.001657
2019-04-25,3,4,2019,25,2,0.0,1,0,653558,12884,Tashkent,8441.36,8455.37,-0.001657
2019-04-26,4,4,2019,26,2,0.0,0,0,546833,12255,Tashkent,8441.36,8455.37,-0.001657
2019-04-27,5,4,2019,27,2,0.0,0,0,421219,12833,Namangan,8441.36,8455.37,-0.001657
2019-04-28,6,4,2019,28,2,0.0,0,0,402429,13119,Samarkand,8441.36,8455.37,-0.001657
2019-04-29,0,4,2019,29,2,0.0,0,0,566458,12156,Samarkand,8441.36,8455.37,-0.001657
2019-04-30,1,4,2019,30,2,0.0,0,0,558463,13852,Fergana,8445.49,8441.36,0.000489
